Fecha,Hora,dato
2025-06-11,22:05:56,86
2025-06-11,22:10:24,86
2025-06-11,22:14:31,86
2025-06-11,22:16:01,86
2025-06-11,22:17:31,86
2025-06-11,22:20:15,84
2025-06-11,22:21:45,87
2025-06-11,22:23:15,88
2025-06-11,22:24:45,86
2025-06-11,22:26:15,84
2025-06-11,22:27:45,86
2025-06-11,22:29:15,87
2025-06-11,22:30:45,86
2025-06-11,22:32:15,86
2025-06-24,16:08:53,93
2025-06-24,16:11:41,95
2025-06-24,16:16:11,95
2025-06-24,16:32:45,94
2025-06-24,16:34:15,94
2025-06-24,16:38:26,93
2025-06-24,16:40:25,93
2025-06-24,16:42:06,93
2025-06-24,16:43:36,93
2025-06-24,16:45:24,93
2025-06-24,16:46:57,93
2025-06-24,16:49:07,93
2025-06-24,16:50:37,93
2025-06-24,16:52:07,93
2025-06-24,16:55:13,93
2025-06-24,16:59:47,93
2025-06-24,17:31:09,94
2025-06-24,17:36:55,93
2025-06-24,17:41:57,93
2025-06-24,18:29:02,91
2025-06-24,18:29:03,91
2025-06-24,18:29:04,91
2025-06-24,18:29:05,94
2025-06-24,19:23:34,94
2025-06-24,19:23:35,94
2025-06-24,19:23:35,94
2025-06-24,19:23:36,94
2025-06-24,19:23:36,94
2025-06-24,19:23:37,94
2025-06-24,19:23:37,93
2025-06-24,19:23:38,93
2025-06-24,19:23:38,93
2025-06-24,19:23:39,93
2025-06-24,19:23:39,93
2025-06-24,19:23:40,93
2025-06-24,19:23:40,94
2025-06-24,19:23:41,94
2025-06-24,19:23:41,94
2025-06-24,19:33:20,94
2025-06-24,19:33:21,94
2025-06-24,19:33:22,94
2025-06-24,19:33:23,94
2025-06-24,19:34:59,94
2025-06-24,19:34:59,94
2025-06-24,19:35:00,94
2025-06-24,19:35:00,94
2025-06-24,19:35:01,94
2025-06-24,19:35:01,94
2025-06-24,19:35:02,94
2025-06-24,19:35:02,94
2025-06-24,19:35:03,94
2025-06-24,19:35:03,94
2025-06-24,19:35:04,94
2025-06-24,19:35:04,94
2025-06-24,19:35:05,94
2025-06-24,19:35:05,94
2025-06-24,19:35:06,94
2025-06-24,19:35:06,94
2025-06-24,19:35:07,94
2025-06-24,19:35:07,94
2025-06-24,19:35:08,94
2025-06-24,19:35:08,94
2025-06-24,19:35:09,94
2025-06-24,19:35:09,94
2025-06-24,19:35:10,94
2025-06-24,19:35:10,94
2025-06-24,19:35:11,94
2025-06-24,19:35:11,94
2025-06-24,19:35:12,94
2025-06-24,19:35:12,94
2025-06-24,19:35:13,94
2025-06-24,19:35:13,94
2025-06-24,19:35:14,94
2025-06-24,19:35:14,94
2025-06-24,19:35:15,94
2025-06-24,19:35:15,94
2025-06-24,19:35:16,94
2025-06-24,19:35:16,94
2025-06-24,19:35:17,94
2025-06-24,19:35:17,94
2025-06-24,19:35:18,94
2025-06-24,19:35:18,94
2025-06-24,19:35:19,94
2025-06-24,19:35:19,94
2025-06-24,19:35:20,94
2025-06-24,19:35:20,95
2025-06-24,19:35:21,95
2025-06-24,19:35:21,95
2025-06-24,19:35:22,95
2025-06-24,19:35:22,95
2025-06-24,19:35:23,95
2025-06-24,19:35:23,95
2025-06-24,19:35:24,94
2025-06-24,19:35:24,94
2025-06-24,19:35:25,94
2025-06-24,19:35:25,94
2025-06-24,19:35:26,94
2025-06-24,19:35:26,94
2025-06-24,19:35:27,94
2025-06-24,19:35:27,94
2025-06-24,19:35:28,94
2025-06-24,19:35:28,94
2025-06-24,19:35:29,94
2025-06-24,19:35:29,94
2025-06-24,19:35:30,94
2025-06-24,19:35:30,94
2025-06-24,19:35:31,94
2025-06-24,19:35:31,94
2025-06-24,19:35:32,94
2025-06-24,19:35:32,94
2025-06-24,19:35:33,94
2025-06-24,19:35:33,94
2025-06-24,19:35:34,94
2025-06-24,19:35:34,94
2025-06-24,19:35:35,94
2025-06-24,19:35:35,94
2025-06-24,19:35:36,94
2025-06-24,19:35:37,95
2025-06-24,19:35:37,95
2025-06-24,19:35:38,95
2025-06-24,19:35:38,95
2025-06-24,19:35:39,95
2025-06-24,19:35:39,95
2025-06-24,19:35:40,94
2025-06-24,19:35:40,94
2025-06-24,19:35:41,94
2025-06-24,19:35:41,94
2025-06-24,19:35:42,94
2025-06-24,19:35:42,94
2025-06-24,19:35:43,94
2025-06-24,19:35:43,94
2025-06-24,19:35:44,94
2025-06-24,19:35:44,94
2025-06-24,19:35:54,94
2025-06-24,19:35:54,94
2025-06-24,19:35:55,94
2025-06-24,19:35:55,94
2025-06-24,19:35:56,94
2025-06-24,19:35:56,94
2025-06-24,19:35:57,94
2025-06-24,19:35:57,94
2025-06-24,19:35:58,94
2025-06-24,19:35:58,94
2025-06-24,19:35:59,94
2025-06-24,19:35:59,94
2025-06-24,19:36:00,94
2025-06-24,19:36:00,94
2025-06-24,19:36:01,94
2025-06-24,19:36:01,94
2025-06-24,19:36:02,94
2025-06-24,19:36:02,94
2025-06-24,19:36:03,94
2025-06-24,19:36:03,94
2025-06-24,19:36:04,94
2025-06-24,19:36:04,94
2025-06-24,19:36:05,94
2025-06-24,19:36:05,94
2025-06-24,19:36:06,94
2025-06-24,19:36:06,95
2025-06-24,19:36:07,95
2025-06-24,19:36:07,95
2025-06-24,19:36:08,95
2025-06-24,19:36:08,95
2025-06-24,19:36:09,95
2025-06-24,19:36:09,94
2025-06-24,19:36:10,94
2025-06-24,19:36:10,94
2025-06-24,19:36:11,94
2025-06-24,19:36:11,94
2025-06-24,19:36:12,94
2025-06-24,19:36:12,94
2025-06-24,19:36:13,94
2025-06-24,19:36:13,94
2025-06-24,19:36:14,94
2025-06-24,19:36:14,94
2025-06-24,19:36:15,94
2025-06-24,19:36:15,94
2025-06-24,19:36:16,94
2025-06-24,19:36:16,94
2025-06-24,19:36:17,94
2025-06-24,19:36:17,94
2025-06-24,19:36:18,94
2025-06-24,19:36:18,94
2025-06-24,19:36:19,94
2025-06-24,19:36:19,94
2025-06-24,19:36:20,94
2025-06-24,19:36:20,94
2025-06-24,19:36:21,94
2025-06-24,19:36:21,94
2025-06-24,19:36:22,94
2025-06-24,19:36:22,94
2025-06-24,19:36:23,94
2025-06-24,19:36:23,94
2025-06-24,19:36:24,94
2025-06-24,19:36:24,94
2025-06-24,19:36:25,94
2025-06-24,19:36:25,94
2025-06-24,19:36:26,94
2025-06-24,19:36:26,94
2025-06-24,19:36:27,94
2025-06-24,19:36:27,94
2025-06-24,19:36:28,94
2025-06-24,19:36:28,94
2025-06-24,19:36:29,94
2025-06-24,19:36:29,94
2025-06-24,19:36:30,94
2025-06-24,19:36:30,94
2025-06-24,19:36:31,94
2025-06-24,19:36:31,95
2025-06-24,19:36:32,95
2025-06-24,19:36:32,95
2025-06-24,19:36:33,95
2025-06-24,19:36:33,95
2025-06-24,19:36:34,95
2025-06-24,19:36:34,94
2025-06-24,19:36:35,94
2025-06-24,19:36:35,94
2025-06-24,19:36:36,94
2025-06-24,19:36:36,94
2025-06-24,19:36:37,94
2025-06-24,19:36:37,94
2025-06-24,19:36:38,94
2025-06-24,19:36:38,94
2025-06-24,19:36:39,94
2025-06-24,19:36:39,94
2025-06-24,19:36:40,94
2025-06-24,19:36:40,94
2025-06-24,19:36:41,94
2025-06-24,19:36:41,94
2025-06-24,19:36:42,94
2025-06-24,19:36:42,94
2025-06-24,19:36:43,94
2025-06-24,19:36:43,94
2025-06-24,19:36:44,94
2025-06-24,19:36:44,94
2025-06-24,19:36:45,94
2025-06-24,19:36:45,94
2025-06-24,19:36:46,94
2025-06-24,19:36:46,94
2025-06-24,19:36:47,95
2025-06-24,19:36:47,95
2025-06-24,19:36:48,95
2025-06-24,19:36:48,95
2025-06-24,19:36:49,95
2025-06-24,19:36:49,95
2025-06-24,19:36:50,94
2025-06-24,19:36:50,94
2025-06-24,19:36:51,94
2025-06-24,19:36:51,94
2025-06-24,19:36:52,94
2025-06-24,19:36:52,94
2025-06-24,19:36:53,94
2025-06-24,19:36:53,94
2025-06-24,19:36:54,94
2025-06-24,19:36:54,94
2025-06-24,19:36:55,94
2025-06-24,19:36:55,94
2025-06-24,19:36:56,94
2025-06-24,19:36:56,94
2025-06-24,19:36:57,94
2025-06-24,19:36:58,94
2025-06-24,19:36:58,94
2025-06-24,19:36:59,94
2025-06-24,19:36:59,94
2025-06-24,19:37:00,94
2025-06-24,19:37:00,94
2025-06-24,19:37:01,94
2025-06-24,19:37:01,94
2025-06-24,19:37:02,94
2025-06-24,19:37:02,94
2025-06-24,19:37:03,95
2025-06-24,19:37:03,95
2025-06-24,19:37:04,95
2025-06-24,19:37:04,95
2025-06-24,19:37:05,95
2025-06-24,19:37:05,95
2025-06-24,19:37:06,94
2025-06-24,19:48:31,94
2025-06-24,19:48:31,94
2025-06-24,19:48:32,94
2025-06-24,19:48:32,94
2025-06-24,19:48:33,94
2025-06-24,19:48:33,94
2025-06-24,19:48:34,94
2025-06-24,19:48:34,94
2025-06-24,19:48:35,94
2025-06-24,19:48:35,94
2025-06-24,19:48:36,94
2025-06-24,19:48:36,94
2025-06-24,19:48:37,95
2025-06-24,19:48:37,95
2025-06-24,19:48:38,95
2025-06-24,19:48:38,95
2025-06-24,19:48:39,95
2025-06-24,19:48:39,95
2025-06-24,19:48:40,95
2025-06-24,19:48:40,95
2025-06-24,19:48:41,95
2025-06-24,19:48:41,95
2025-06-24,19:48:42,95
2025-06-24,19:48:42,95
2025-06-24,19:48:43,95
2025-06-24,19:48:43,95
2025-06-24,19:48:44,95
2025-06-24,19:48:44,95
2025-06-24,19:48:45,95
2025-06-24,19:48:45,95
2025-06-24,19:48:46,95
2025-06-24,19:48:46,95
2025-06-24,19:48:47,95
2025-06-24,19:48:47,95
2025-06-24,19:48:48,95
2025-06-24,19:48:48,95
2025-06-24,19:48:49,95
2025-06-24,19:48:49,95
2025-06-24,19:48:50,95
2025-06-24,19:48:50,95
2025-06-24,19:48:51,95
2025-06-24,19:48:51,95
2025-06-24,19:48:52,95
2025-06-24,19:48:52,95
2025-06-24,19:48:53,95
2025-06-24,19:48:53,95
2025-06-24,19:48:54,95
2025-06-24,19:48:54,95
2025-06-24,19:48:55,95
2025-06-24,19:48:55,95
2025-06-24,19:48:56,95
2025-06-24,19:48:56,95
2025-06-24,19:48:57,95
2025-06-24,19:48:57,95
2025-06-24,19:48:58,95
2025-06-24,19:48:58,95
2025-06-24,19:48:59,94
2025-06-24,19:48:59,94
2025-06-24,19:49:00,94
2025-06-24,19:49:00,94
2025-06-24,19:49:01,94
2025-06-24,19:49:01,94
2025-06-24,19:49:02,95
2025-06-24,19:49:02,95
2025-06-24,19:49:03,95
2025-06-24,19:49:03,95
2025-06-24,19:49:04,95
2025-06-24,19:49:04,95
2025-06-24,19:49:05,95
2025-06-24,19:49:05,95
2025-06-24,19:49:06,95
2025-06-24,19:49:06,95
2025-06-24,19:50:56,94
2025-06-24,19:50:57,94
2025-06-24,19:50:58,94
2025-06-24,19:51:25,95
2025-06-24,19:51:26,95
2025-06-24,19:51:27,95
2025-06-24,19:52:03,95
2025-06-24,19:52:04,95
2025-06-24,19:52:05,95
2025-06-24,19:53:53,95
2025-06-24,19:53:54,95
2025-06-24,19:55:38,95
2025-06-24,19:55:38,95
2025-06-24,19:55:39,95
2025-06-24,19:55:39,95
2025-06-24,19:55:40,95
2025-06-24,19:55:40,95
2025-06-24,19:55:41,95
2025-06-24,19:55:41,94
2025-06-24,19:55:42,94
2025-06-24,19:55:42,94
2025-06-24,19:55:43,94
2025-06-24,19:55:43,94
2025-06-24,19:55:44,94
2025-06-24,19:55:44,95
2025-06-24,19:55:45,95
2025-06-24,19:55:45,95
2025-06-24,19:55:46,95
2025-06-24,19:55:46,95
2025-06-24,19:55:47,95
2025-06-24,19:55:47,95
2025-06-24,19:55:48,95
2025-06-24,19:55:48,95
2025-06-24,19:55:49,95
2025-06-24,19:55:49,95
2025-06-24,19:55:50,95
2025-06-24,19:55:50,95
2025-06-24,19:55:51,95
2025-06-24,19:55:51,95
2025-06-24,19:55:52,95
2025-06-24,19:55:52,95
2025-06-24,19:55:53,95
2025-06-24,19:55:53,95
2025-06-24,19:55:54,95
2025-06-24,20:00:03,95
2025-06-24,20:00:04,95
2025-06-24,20:00:04,95
2025-06-24,20:00:05,95
2025-06-24,20:00:05,95
2025-06-24,20:00:06,95
2025-06-24,20:00:07,95
2025-06-24,20:00:07,95
2025-06-24,20:00:08,95
2025-06-24,20:04:52,95
2025-06-24,20:04:53,95
2025-06-24,20:04:53,95
2025-06-24,20:04:54,95
2025-06-24,20:04:54,95
2025-06-24,20:04:55,95
2025-06-24,20:04:56,95
2025-06-24,20:04:56,95
2025-06-24,20:04:57,95
2025-06-24,20:04:57,95
2025-06-24,20:04:58,95
2025-06-24,20:04:58,95
2025-06-24,20:04:59,95
2025-06-24,20:04:59,95
2025-06-24,20:05:00,95
2025-06-24,20:05:00,95
2025-06-24,20:05:01,95
2025-06-24,20:05:01,95
2025-06-24,20:05:02,95
2025-06-24,20:05:02,95
2025-06-24,20:05:03,95
2025-06-24,20:05:03,95
2025-06-24,20:05:04,95
2025-06-24,20:05:04,95
2025-06-24,20:05:05,95
2025-06-24,20:05:05,95
2025-06-24,20:05:06,95
2025-06-24,20:05:06,95
2025-06-24,20:05:07,95
2025-06-24,20:05:07,95
2025-06-24,20:05:08,95
2025-06-24,20:05:08,95
2025-06-24,20:05:09,95
2025-06-24,20:05:09,95
2025-06-24,20:05:10,95
2025-06-24,20:05:10,95
2025-06-24,20:05:11,95
2025-06-24,20:05:11,95
2025-06-24,20:05:12,95
2025-06-24,20:05:12,95
2025-06-24,20:05:13,95
2025-06-24,20:05:13,95
2025-06-24,20:05:14,95
2025-06-24,20:05:14,95
2025-06-24,20:05:15,95
